Date,24h Average,Ask,Bid,Last,Total Volume
2015-07-27,0.64999999999998,2.78,3.0,3.03,37075.15
2015-07-26,2.21,4.98,4.6,4.54,-12695.24
2015-07-25,6.36,-0.33000000000004,-0.13,-0.17000000000002,-38485.4
2015-07-24,4.46,11.3,11.22,11.34,44642.72
2015-07-23,0.88999999999999,0.79000000000002,0.70999999999998,0.69999999999999,-12166.74
2015-07-22,-2.51,-2.57,-2.62,-2.62,1461.56
2015-07-21,3.17,1.22,1.38,1.38,-4112.19
2015-07-20,1.57,3.34,3.41,3.38,21886.62
2015-07-19,-2.92,0.26999999999998,0.25999999999999,0.27000000000004,-36339.07
2015-07-18,0.42000000000002,-4.06,-4.14,-4.72,-6544.95
2015-07-17,-6.04,-1.61,-1.64,-0.95999999999998,-58683.44
2015-07-16,-7.75,-11.18,-10.88,-11.46,77774.23
2015-07-15,0.13999999999999,1.32,1.09,1.49,-10609.22
2015-07-14,-4.18,-2.49,-2.52,-2.64,-87154.66
2015-07-13,-7.77,-15.14,-15.26,-15.05,31892.3
2015-07-12,12.5,13.99,14.05,14.04,25518.23
2015-07-11,10.87,7.84,8.06,7.84,-115165.14
2015-07-10,9.34,14.5,14.34,14.44,133419.38
2015-07-09,1.16,3.65,3.71,3.76,-8859.66
2015-07-08,0.62,0.75999999999999,0.75,0.63,12342.06
2015-07-07,-3.15,-7.52,-7.54,-7.41,-53332.28
2015-07-06,8.02,3.73,3.61,3.81,9193.22
2015-07-05,5.24,7.8,7.74,7.75,76645.41
2015-07-04,1.99,5.66,5.78,5.63,-8006.46
2015-07-03,-1.8200000000001,0.58999999999997,0.46000000000004,0.44999999999999,-6057.27
2015-07-02,-2.48,-3.65,-3.54,-3.68,-20441.67
2015-07-01,-1.56,-3.7,-3.81,-3.61,-48396.84
2015-06-30,9.23,8.35,8.35,8.3,30734.23
2015-06-29,2.47,5.14,5.18,5.23,51670.59
2015-06-28,3.55,-1.38,-1.26,-1.59,-14948.01
2015-06-27,3.22,7.71,7.71,7.94,19335.65
2015-06-26,0.19999999999999,0.88999999999999,0.71000000000001,0.81,-7158.66
2015-06-25,-1.18,0.78999999999999,0.84,0.86000000000001,-8219.93
2015-06-24,-1.89,-3.62,-3.67,-3.69,11842.78
2015-06-23,0.59999999999999,-2.27,-2.31,-2.29,-10789.49
2015-06-22,0.65000000000001,2.99,3.01,3.01,25217.24
2015-06-21,1.56,0.25,0.21000000000001,0.19999999999999,-41524.98
2015-06-20,-5.07,-1.4,-1.28,-1.39,9433.01
2015-06-19,0.090000000000003,-3.0,-2.92,-2.98,-27117.66
2015-06-18,-2.38,1.16,0.97,1.1,-40628.55
2015-06-17,9.94,0.56,0.56,0.59,6070.3
2015-06-16,5.66,10.66,10.68,10.68,58249.86
2015-06-15,1.33,3.26,3.23,3.22,26998.04
2015-06-14,2.85,0.60000000000002,0.69,0.61000000000001,-4425.17
2015-06-13,-0.099999999999994,2.08,2.1,2.19,-2348.36
2015-06-12,0.69,0.71000000000001,0.66,0.59,-1028.69
2015-06-11,-0.069999999999993,0.28999999999999,0.25999999999999,0.34999999999999,72.889999999999
2015-06-10,0.63999999999999,-0.56999999999999,-0.52000000000001,-0.58000000000001,-17285.03
2015-06-09,4.39,1.82,1.79,1.89,-16738.58
2015-06-08,0.099999999999994,4.98,5.01,5.0,34609.31
2015-06-07,-0.63,-2.33,-2.31,-2.46,8128.05
2015-06-06,0.91,-0.080000000000013,0.0099999999999909,0.090000000000003,-26662.3
2015-06-05,-0.86000000000001,0.88,0.77000000000001,0.72,11181.76
2015-06-04,-0.039999999999992,-1.26,-1.32,-1.24,-7409.54
2015-06-03,2.27,0.91,0.98999999999998,1.03,-14810.2
2015-06-02,-3.66,4.5,4.52,4.42,-23091.32
2015-06-01,-5.5,-9.83,-9.86,-9.86,61182.73
2015-05-31,-2.23,-1.84,-1.86,-1.81,-10871.49
2015-05-30,-2.28,-4.83,-4.78,-4.91,4985.75
2015-05-29,-0.25,-0.38999999999999,-0.49000000000001,-0.44,2507.24
2015-05-28,-0.57999999999998,0.91999999999999,0.98000000000002,1.07,-15913.99
2015-05-27,0.91,-0.81,-0.86000000000001,-0.88999999999999,8663.19
2015-05-26,-1.6,0.62,0.69,0.69,7925.01
2015-05-25,-1.1,-4.16,-4.13,-4.11,3762.06
2015-05-24,0.02000000000001,1.58,1.61,1.61,-3104.54
2015-05-23,3.04,-0.30000000000001,-0.41,-0.39000000000001,-43732.2
2015-05-22,1.6,4.32,4.41,4.29,34529.71
2015-05-21,1.47,1.62,1.53,1.64,-3537.0
2015-05-20,0.44,0.93000000000001,0.88999999999999,0.84999999999999,5102.69
2015-05-19,-2.9,0.069999999999993,0.099999999999994,0.13,-7053.81
2015-05-18,-1.14,-3.57,-3.52,-3.56,22582.87
2015-05-17,-0.54999999999998,-0.70000000000002,-0.78,-0.73999999999998,-5900.53
2015-05-16,-3.14,1.01,1.17,1.11,-51948.66
2015-05-15,0.0,0.0,0.0,0.0,0.0
2015-05-14,-2.22,0.019999999999982,-0.099999999999994,-0.090000000000003,23293.6
2015-05-13,1.57,-5.89,-5.87,-5.91,5411.66
2015-05-12,0.51999999999998,-0.47999999999999,-0.52000000000001,-0.45999999999998,-5787.62
2015-05-11,-0.38999999999999,1.99,2.17,2.05,17201.78
2015-05-10,-1.1,-1.58,-1.72,-1.55,-17305.05
2015-05-09,3.45,-2.32,-2.26,-2.23,-27352.36
2015-05-08,8.0,6.77,6.76,6.68,-36558.27
2015-05-07,-4.0,6.82,6.85,6.69,56336.42
2015-05-06,-0.53,-4.75,-4.88,-4.62,-7190.0
2015-05-05,-4.25,-3.41,-3.31,-3.39,10195.59
2015-05-04,0.74000000000001,-1.04,-1.12,-1.13,12694.68
2015-05-03,4.45,3.93,3.95,4.01,12777.77
2015-05-02,-0.50999999999999,1.17,1.3,1.24,-17582.6
2015-05-01,4.63,-1.31,-1.25,-1.37,-54755.84
2015-04-30,5.22,9.88,9.63,9.82,54380.67
2015-04-29,-0.68000000000001,0.92000000000002,1.19,0.97999999999999,-20142.85
2015-04-28,6.38,-7.52,-7.49,-7.53,-38641.19
2015-04-27,0.38,14.31,14.03,14.26,16255.64
